"Fecha";"Mercado";"Producto";"Precio"
"30-12-09";"B.Blanca";"Girasol";"U$S 239.47"
"04-01-10";"B.Blanca";"Girasol";"U$S 239.6"
"05-01-10";"B.Blanca";"Girasol";"U$S 242.17"
"06-01-10";"B.Blanca";"Girasol";"U$S 241.47"
"07-01-10";"B.Blanca";"Girasol";"U$S 243.74"
"08-01-10";"B.Blanca";"Girasol";"U$S 243.81"
"11-01-10";"B.Blanca";"Girasol";"U$S 244.07"
"12-01-10";"B.Blanca";"Girasol";"U$S 240.12"
"13-01-10";"B.Blanca";"Girasol";"U$S 237.82"
"14-01-10";"B.Blanca";"Girasol";"U$S 237.03"
"15-01-10";"B.Blanca";"Girasol";"U$S 235.98"
"18-01-10";"B.Blanca";"Girasol";"U$S 235.59"
"19-01-10";"B.Blanca";"Girasol";"U$S 235.46"
"20-01-10";"B.Blanca";"Girasol";"U$S 235.28"
"21-01-10";"B.Blanca";"Girasol";"U$S 235.03"
"22-01-10";"B.Blanca";"Girasol";"U$S 229.84"
"25-01-10";"B.Blanca";"Girasol";"U$S 235.16"
"26-01-10";"B.Blanca";"Girasol";"U$S 234.66"
"27-01-10";"B.Blanca";"Girasol";"U$S 234.66"
"28-01-10";"B.Blanca";"Girasol";"U$S 233.05"
"29-01-10";"B.Blanca";"Girasol";"U$S 232.07"
"01-02-10";"B.Blanca";"Girasol";"U$S 232.01"
"02-02-10";"B.Blanca";"Girasol";"U$S 232.25"
"03-02-10";"B.Blanca";"Girasol";"U$S 232.13"
"04-02-10";"B.Blanca";"Girasol";"U$S 229.11"
"05-02-10";"B.Blanca";"Girasol";"U$S 229.17"
"08-02-10";"B.Blanca";"Girasol";"U$S 229.11"
"09-02-10";"B.Blanca";"Girasol";"U$S 230.29"
"10-02-10";"B.Blanca";"Girasol";"U$S 232.65"
"11-02-10";"B.Blanca";"Girasol";"U$S 233.77"
"12-02-10";"B.Blanca";"Girasol";"U$S 234.82"
"15-02-10";"B.Blanca";"Girasol";"U$S 235.75"
"16-02-10";"B.Blanca";"Girasol";"U$S 238.53"
"17-02-10";"B.Blanca";"Girasol";"U$S 241.44"
"18-02-10";"B.Blanca";"Girasol";"U$S 241.58"
"19-02-10";"B.Blanca";"Girasol";"U$S 241.58"
"22-02-10";"B.Blanca";"Girasol";"U$S 241.26"
"23-02-10";"B.Blanca";"Girasol";"U$S 243.52"
"24-02-10";"B.Blanca";"Girasol";"U$S 240.93"
"25-02-10";"B.Blanca";"Girasol";"U$S 241"
"26-02-10";"B.Blanca";"Girasol";"U$S 241"
"01-03-10";"B.Blanca";"Girasol";"U$S 241.12"
"02-03-10";"B.Blanca";"Girasol";"U$S 241.25"
"03-03-10";"B.Blanca";"Girasol";"U$S 241.25"
"04-03-10";"B.Blanca";"Girasol";"U$S 241.18"
"05-03-10";"B.Blanca";"Girasol";"U$S 241"
"08-03-10";"B.Blanca";"Girasol";"U$S 241"
"09-03-10";"B.Blanca";"Girasol";"U$S 239.51"
"10-03-10";"B.Blanca";"Girasol";"U$S 239.76"
"11-03-10";"B.Blanca";"Girasol";"U$S 239.78"
"12-03-10";"B.Blanca";"Girasol";"U$S 238.34"
"15-03-10";"B.Blanca";"Girasol";"U$S 238.16"
"16-03-10";"B.Blanca";"Girasol";"U$S 235.63"
"17-03-10";"B.Blanca";"Girasol";"U$S 235.63"
"18-03-10";"B.Blanca";"Girasol";"U$S 235.63"
"19-03-10";"B.Blanca";"Girasol";"U$S 235.51"
"22-03-10";"B.Blanca";"Girasol";"U$S 235.51"
"23-03-10";"B.Blanca";"Girasol";"U$S 232.86"
"25-03-10";"B.Blanca";"Girasol";"U$S 230.15"
"26-03-10";"B.Blanca";"Girasol";"U$S 230.15"
"29-03-10";"B.Blanca";"Girasol";"U$S 229.8"
"30-03-10";"B.Blanca";"Girasol";"U$S 229.68"
"31-03-10";"B.Blanca";"Girasol";"U$S 225.63"
"05-04-10";"B.Blanca";"Girasol";"U$S 225.57"
"06-04-10";"B.Blanca";"Girasol";"U$S 225.52"
"07-04-10";"B.Blanca";"Girasol";"U$S 225.75"
"08-04-10";"B.Blanca";"Girasol";"U$S 225.75"
"09-04-10";"B.Blanca";"Girasol";"U$S 225.75"
"12-04-10";"B.Blanca";"Girasol";"U$S 225.63"
"13-04-10";"B.Blanca";"Girasol";"U$S 225.57"
"14-04-10";"B.Blanca";"Girasol";"U$S 225.75"
"15-04-10";"B.Blanca";"Girasol";"U$S 225.98"
"16-04-10";"B.Blanca";"Girasol";"U$S 227.45"
"19-04-10";"B.Blanca";"Girasol";"U$S 223.51"
"20-04-10";"B.Blanca";"Girasol";"U$S 223.2"
"21-04-10";"B.Blanca";"Girasol";"U$S 223.2"
"22-04-10";"B.Blanca";"Girasol";"U$S 224.75"
"23-04-10";"B.Blanca";"Girasol";"U$S 224.69"
"26-04-10";"B.Blanca";"Girasol";"U$S 224.63"
"27-04-10";"B.Blanca";"Girasol";"U$S 224.34"
"28-04-10";"B.Blanca";"Girasol";"U$S 224.68"
"29-04-10";"B.Blanca";"Girasol";"U$S 224.57"
"30-04-10";"B.Blanca";"Girasol";"U$S 225.31"
"03-05-10";"B.Blanca";"Girasol";"U$S 225.69"
"04-05-10";"B.Blanca";"Girasol";"U$S 225.93"
"05-05-10";"B.Blanca";"Girasol";"U$S 225.93"
"06-05-10";"B.Blanca";"Girasol";"U$S 225.93"
"07-05-10";"B.Blanca";"Girasol";"U$S 225.93"
"10-05-10";"B.Blanca";"Girasol";"U$S 227.21"
"11-05-10";"B.Blanca";"Girasol";"U$S 228.44"
"12-05-10";"B.Blanca";"Girasol";"U$S 228.5"
"13-05-10";"B.Blanca";"Girasol";"U$S 231.07"
"14-05-10";"B.Blanca";"Girasol";"U$S 230.95"
"17-05-10";"B.Blanca";"Girasol";"U$S 233.41"
"18-05-10";"B.Blanca";"Girasol";"U$S 234.59"
"19-05-10";"B.Blanca";"Girasol";"U$S 236.3"
"20-05-10";"B.Blanca";"Girasol";"U$S 238.16"
"21-05-10";"B.Blanca";"Girasol";"U$S 238.61"
"26-05-10";"B.Blanca";"Girasol";"U$S 236.77"
"27-05-10";"B.Blanca";"Girasol";"U$S 236.71"
"28-05-10";"B.Blanca";"Girasol";"U$S 236.22"
"31-05-10";"B.Blanca";"Girasol";"U$S 237.97"
"01-06-10";"B.Blanca";"Girasol";"U$S 237.28"
"02-06-10";"B.Blanca";"Girasol";"U$S 237.58"
"03-06-10";"B.Blanca";"Girasol";"U$S 237.88"
"04-06-10";"B.Blanca";"Girasol";"U$S 233.44"
"07-06-10";"B.Blanca";"Girasol";"U$S 232.53"
"08-06-10";"B.Blanca";"Girasol";"U$S 232.89"
"09-06-10";"B.Blanca";"Girasol";"U$S 232.83"
"10-06-10";"B.Blanca";"Girasol";"U$S 234.24"
"11-06-10";"B.Blanca";"Girasol";"U$S 234"
"14-06-10";"B.Blanca";"Girasol";"U$S 235.1"
"15-06-10";"B.Blanca";"Girasol";"U$S 235.1"
"16-06-10";"B.Blanca";"Girasol";"U$S 235.35"
"17-06-10";"B.Blanca";"Girasol";"U$S 235.35"
"18-06-10";"B.Blanca";"Girasol";"U$S 235.35"
"22-06-10";"B.Blanca";"Girasol";"U$S 235.17"
"23-06-10";"B.Blanca";"Girasol";"U$S 235.29"
"24-06-10";"B.Blanca";"Girasol";"U$S 236.39"
"25-06-10";"B.Blanca";"Girasol";"U$S 236.27"
"28-06-10";"B.Blanca";"Girasol";"U$S 236.21"
"30-06-10";"B.Blanca";"Girasol";"U$S 228.95"
"01-07-10";"B.Blanca";"Girasol";"U$S 227.56"
"02-07-10";"B.Blanca";"Girasol";"U$S 228.77"
"05-07-10";"B.Blanca";"Girasol";"U$S 228.72"
"06-07-10";"B.Blanca";"Girasol";"U$S 228.72"
"07-07-10";"B.Blanca";"Girasol";"U$S 229.93"
"08-07-10";"B.Blanca";"Girasol";"U$S 229.87"
"09-07-10";"B.Blanca";"Girasol";"U$S 267.97"
"10-07-10";"B.Blanca";"Girasol";"U$S 270.51"
"12-07-10";"B.Blanca";"Girasol";"U$S 231.2"
"13-07-10";"B.Blanca";"Girasol";"U$S 231.32"
"14-07-10";"B.Blanca";"Girasol";"U$S 232.59"
"15-07-10";"B.Blanca";"Girasol";"U$S 232.53"
"16-07-10";"B.Blanca";"Girasol";"U$S 232.59"
"19-07-10";"B.Blanca";"Girasol";"U$S 233.55"
"20-07-10";"B.Blanca";"Girasol";"U$S 233.86"
"21-07-10";"B.Blanca";"Girasol";"U$S 234.88"
"22-07-10";"B.Blanca";"Girasol";"U$S 235.76"
"23-07-10";"B.Blanca";"Girasol";"U$S 237.6"
"26-07-10";"B.Blanca";"Girasol";"U$S 237.79"
"27-07-10";"B.Blanca";"Girasol";"U$S 237.73"
"28-07-10";"B.Blanca";"Girasol";"U$S 237.61"
"29-07-10";"B.Blanca";"Girasol";"U$S 239.78"
"30-07-10";"B.Blanca";"Girasol";"U$S 243.4"
"02-08-10";"B.Blanca";"Girasol";"U$S 244.79"
"03-08-10";"B.Blanca";"Girasol";"U$S 245.3"
"04-08-10";"B.Blanca";"Girasol";"U$S 256.8"
"05-08-10";"B.Blanca";"Girasol";"U$S 256.8"
"06-08-10";"B.Blanca";"Girasol";"U$S 260.68"
"09-08-10";"B.Blanca";"Girasol";"U$S 263.22"
"10-08-10";"B.Blanca";"Girasol";"U$S 265.7"
"11-08-10";"B.Blanca";"Girasol";"U$S 271.99"
"12-08-10";"B.Blanca";"Girasol";"U$S 274.6"
"13-08-10";"B.Blanca";"Girasol";"U$S 278.41"
"17-08-10";"B.Blanca";"Girasol";"U$S 280.88"
"18-08-10";"B.Blanca";"Girasol";"U$S 280.74"
"19-08-10";"B.Blanca";"Girasol";"U$S 280.67"
"20-08-10";"B.Blanca";"Girasol";"U$S 275.52"
"23-08-10";"B.Blanca";"Girasol";"U$S 270.37"
"24-08-10";"B.Blanca";"Girasol";"U$S 265.09"
"25-08-10";"B.Blanca";"Girasol";"U$S 262.36"
"26-08-10";"B.Blanca";"Girasol";"U$S 263.44"
"27-08-10";"B.Blanca";"Girasol";"U$S 262.42"
"30-08-10";"B.Blanca";"Girasol";"U$S 259.49"
"31-08-10";"B.Blanca";"Girasol";"U$S 262.03"
"01-09-10";"B.Blanca";"Girasol";"U$S 262.03"
"02-09-10";"B.Blanca";"Girasol";"U$S 262.22"
"03-09-10";"B.Blanca";"Girasol";"U$S 267.43"
"06-09-10";"B.Blanca";"Girasol";"U$S 267.49"
"07-09-10";"B.Blanca";"Girasol";"U$S 267.29"
"08-09-10";"B.Blanca";"Girasol";"U$S 267.36"
"09-09-10";"B.Blanca";"Girasol";"U$S 269.96"
"10-09-10";"B.Blanca";"Girasol";"U$S 272.5"
"13-09-10";"B.Blanca";"Girasol";"U$S 272.29"
"14-09-10";"B.Blanca";"Girasol";"U$S 272.22"
"15-09-10";"B.Blanca";"Girasol";"U$S 272.15"
"16-09-10";"B.Blanca";"Girasol";"U$S 274.75"
"17-09-10";"B.Blanca";"Girasol";"U$S 274.61"
"20-09-10";"B.Blanca";"Girasol";"U$S 283.54"
"21-09-10";"B.Blanca";"Girasol";"U$S 283.47"
"22-09-10";"B.Blanca";"Girasol";"U$S 283.4"
"23-09-10";"B.Blanca";"Girasol";"U$S 283.33"
"24-09-10";"B.Blanca";"Girasol";"U$S 285.35"
"27-09-10";"B.Blanca";"Girasol";"U$S 284.56"
"28-09-10";"B.Blanca";"Girasol";"U$S 284.42"
"29-09-10";"B.Blanca";"Girasol";"U$S 287.59"
"30-09-10";"B.Blanca";"Girasol";"U$S 290.4"
"01-10-10";"B.Blanca";"Girasol";"U$S 292.86"
"04-10-10";"B.Blanca";"Girasol";"U$S 289.14"
"05-10-10";"B.Blanca";"Girasol";"U$S 289.29"
"06-10-10";"B.Blanca";"Girasol";"U$S 289.14"
"07-10-10";"B.Blanca";"Girasol";"U$S 294.34"
"08-10-10";"B.Blanca";"Girasol";"U$S 297.02"
"12-10-10";"B.Blanca";"Girasol";"U$S 302.15"
"13-10-10";"B.Blanca";"Girasol";"U$S 307.44"
"14-10-10";"B.Blanca";"Girasol";"U$S 312.82"
"15-10-10";"B.Blanca";"Girasol";"U$S 312.26"
"18-10-10";"B.Blanca";"Girasol";"U$S 312.34"
"19-10-10";"B.Blanca";"Girasol";"U$S 312.11"
"20-10-10";"B.Blanca";"Girasol";"U$S 314.55"
"21-10-10";"B.Blanca";"Girasol";"U$S 317.08"
"25-10-10";"B.Blanca";"Girasol";"U$S 324.91"
"26-10-10";"B.Blanca";"Girasol";"U$S 324.66"
"28-10-10";"B.Blanca";"Girasol";"U$S 329.8"
"29-10-10";"B.Blanca";"Girasol";"U$S 329.8"
"01-11-10";"B.Blanca";"Girasol";"U$S 332.15"
"02-11-10";"B.Blanca";"Girasol";"U$S 332.24"
"03-11-10";"B.Blanca";"Girasol";"U$S 334.85"
"04-11-10";"B.Blanca";"Girasol";"U$S 342.26"
"05-11-10";"B.Blanca";"Girasol";"U$S 349.92"
"08-11-10";"B.Blanca";"Girasol";"U$S 349.48"
"09-11-10";"B.Blanca";"Girasol";"U$S 352.85"
"10-11-10";"B.Blanca";"Girasol";"U$S 352.18"
"11-11-10";"B.Blanca";"Girasol";"U$S 354.62"
"12-11-10";"B.Blanca";"Girasol";"U$S 341.74"
"15-11-10";"B.Blanca";"Girasol";"U$S 338.79"
"16-11-10";"B.Blanca";"Girasol";"U$S 328.47"
"17-11-10";"B.Blanca";"Girasol";"U$S 324.69"
"18-11-10";"B.Blanca";"Girasol";"U$S 329.73"
"19-11-10";"B.Blanca";"Girasol";"U$S 329.73"
"23-11-10";"B.Blanca";"Girasol";"U$S 327.21"
"24-11-10";"B.Blanca";"Girasol";"U$S 327.21"
"25-11-10";"B.Blanca";"Girasol";"U$S 327.04"
"26-11-10";"B.Blanca";"Girasol";"U$S 326.63"
"29-11-10";"B.Blanca";"Girasol";"U$S 326.22"
"30-11-10";"B.Blanca";"Girasol";"U$S 329.74"
"01-12-10";"B.Blanca";"Girasol";"U$S 332.25"
"02-12-10";"B.Blanca";"Girasol";"U$S 331.25"
"03-12-10";"B.Blanca";"Girasol";"U$S 338.11"
"06-12-10";"B.Blanca";"Girasol";"U$S 336.25"
"07-12-10";"B.Blanca";"Girasol";"U$S 338.79"
"09-12-10";"B.Blanca";"Girasol";"U$S 342.57"
"10-12-10";"B.Blanca";"Girasol";"U$S 342.14"
"13-12-10";"B.Blanca";"Girasol";"U$S 346.09"
"14-12-10";"B.Blanca";"Girasol";"U$S 346"
"15-12-10";"B.Blanca";"Girasol";"U$S 346"
"16-12-10";"B.Blanca";"Girasol";"U$S 345.91"
"17-12-10";"B.Blanca";"Girasol";"U$S 346"
"20-12-10";"B.Blanca";"Girasol";"U$S 351.03"
"21-12-10";"B.Blanca";"Girasol";"U$S 356.15"
"22-12-10";"B.Blanca";"Girasol";"U$S 361.28"
"23-12-10";"B.Blanca";"Girasol";"U$S 365.76"
"27-12-10";"B.Blanca";"Girasol";"U$S 365.21"
"28-12-10";"B.Blanca";"Girasol";"U$S 368"
"29-12-10";"B.Blanca";"Girasol";"U$S 368.28"
"30-12-10";"B.Blanca";"Girasol";"U$S 372.23"
"03-01-11";"B.Blanca";"Girasol";"U$S 372.51"
"04-01-11";"B.Blanca";"Girasol";"U$S 372.51"
"05-01-11";"B.Blanca";"Girasol";"U$S 372.61"
"06-01-11";"B.Blanca";"Girasol";"U$S 372.61"
"07-01-11";"B.Blanca";"Girasol";"U$S 372.05"
"10-01-11";"B.Blanca";"Girasol";"U$S 372.05"
